abandon   5234
advantage   75, 6294, 6453
advantages   6619
adventrous   2285
adventure   398
adventures   7005
adverse   5309, 6204
advice   2158, 2321
advise   3914, 4428, 4916, 5452
adviz   3051
aegypt   4320, 4392, 4415
aereal   2209
aerie   6133
aeschulus   5063
aetatis   3382, 3500
aeternity   7051
aetherial   5686
affairs   2155
affect   170, 6194
affection   5886
affects   103, 2636
affectuum   4991
affirm   1083
afflict   5227, 6069, 6445
afflicted   4836, 5804
affliction   4812, 5226, 5588, 5637, 6451
afflicts   5312
afford   445, 4636, 4690, 4732, 6065, 6285
affright   2364, 2603
affrights   692
affront   5666
africa   2882
african   3911
after   128, 143, 173, 307, 925, 965, 980, 1742, 2142, 2216, 2254, 2980, 3276, 3335, 3473, 3676, 3696, 3799, 5042, 5045, 5463, 5661, 5723, 6166, 6565, 6654, 6912
afterward   5096
afterwards   188, 2110, 2190
again   120, 131, 903, 2075, 2113, 2994, 3459, 4017, 4300, 4631, 5330, 5724, 5877, 5906, 6087, 6102, 6304, 6354, 6564, 6724
against   180, 373, 898, 1169, 1245, 1602, 2312, 2375, 2857, 2862, 2876, 3079, 3106, 3114, 3934, 3974, 4007, 4022, 4119, 4162, 4307, 4432, 4490, 4500, 4720, 5015, 5016, 5365, 5443, 5475, 5520, 5608, 5685, 5698, 5783, 5951, 6013, 6040, 6042, 6093, 6850
agast   646
agat   3203
age   77, 403, 612, 1014, 1373, 1439, 2246, 2265, 2322, 3578, 3660, 3670, 3696, 4629, 5182, 5462, 5711, 5720, 5844, 6080, 6714, 6715, 6716
aged   646, 1192, 3138, 4534, 6819
agen   2747, 2759
ages   5913, 6971
agghiaccia   1553
aggravate   6161
aggravations   5918
ago   1573
agonistes   14, 260, 276, 278, 282, 4981, 5001
agreeable   6735
aid   3159, 4513, 4693, 6324
aide   3519
aidless   2848
aim   6688
air   40, 479, 561, 650, 1366, 1605, 2470, 2738, 2824, 2831, 3026, 3054, 3243, 3545, 5076, 5121, 5291, 5771, 6429, 6882
aire   3408, 3697
aires   1246, 3688
airs   394, 760
airy   568, 1420, 2427, 2453
ajax   5028
ake   4138
alablaster   2950
alack   3423
alarms   2612
alas   47, 855, 924, 1048, 1893, 2887, 3393, 4790, 5276, 5496
alass   49
alba   1556
alberto   2151
alcestis   3815
alcinous   3553
aldis   97
ale   1086, 1210
algarsife   1383
alice   2200
alien   4411
alike   5847, 5848, 6243
alive   4633, 5788
all   29, 96, 134, 159, 180, 187, 274, 296, 450, 469, 526, 551, 560, 573, 711, 772, 800, 823, 833, 853, 899, 1081, 1089, 1103, 1221, 1234, 1253, 1276, 1305, 1353, 1438, 1458, 1588, 1647, 1705, 1708, 1718, 1725, 1728, 1752, 1769, 1787, 1868, 1911, 1929, 1971, 1973, 1981, 2011, 2018, 2024, 2081, 2083, 2087, 2153, 2164, 2227, 2234, 2236, 2278, 2282, 2328, 2346, 2350, 2436, 2465, 2514, 2628, 2661, 2718, 2774, 2797, 2834, 2879, 2881, 2893, 2922, 2943, 2944, 2950, 2956, 2961, 2979, 2981, 2983, 3010, 3015, 3016, 3019, 3095, 3101, 3109, 3115, 3148, 3190, 3267, 3271, 3310, 3316, 3412, 3548, 3554, 3573, 3584, 3632, 3683, 3714, 3737, 3744, 3822, 3846, 3868, 3916, 3939, 3957, 3997, 4025, 4101, 4118, 4120, 4138, 4148, 4149, 4154, 4198, 4246, 4251, 4266, 4267, 4268, 4273, 4279, 4328, 4338, 4376, 4427, 4432, 4466, 4468, 4475, 4498, 4499, 4512, 4515, 4537, 4549, 4582, 4616, 4618, 4685, 4698, 4700, 4701, 4747, 4749, 4769, 4777, 4778, 4801, 4806, 4807, 4814, 4842, 5009, 5038, 5049, 5064, 5138, 5157, 5177, 5179, 5184, 5195, 5197, 5206, 5209, 5220, 5360, 5366, 5419, 5482, 5503, 5510, 5531, 5536, 5538, 5575, 5576, 5592, 5601, 5608, 5627, 5628, 5643, 5658, 5665, 5671, 5673, 5677, 5715, 5731, 5736, 5737, 5755, 5787, 5791, 5794, 5799, 5800, 5861, 5863, 5898, 5923, 5929, 5944, 5964, 5966, 5984, 6004, 6015, 6023, 6028, 6031, 6081, 6094, 6136, 6182, 6199, 6214, 6215, 6253, 6295, 6313, 6320, 6348, 6385, 6403, 6439, 6441, 6471, 6472, 6485, 6514, 6544, 6625, 6671, 6708, 6713, 6720, 6802, 6803, 6825, 6826, 6834, 6847, 6861, 6868, 6888, 6906, 6907, 6913, 6917, 6930, 6979, 6983, 6995, 7001, 7003, 7011, 7019, 7024, 7050, 7060
allaeostropha   5054
allay   2309, 5722
allaying   5687
alle   1519
allege   6447
allegro   1108
alley   2553
alleys   3319
allowance   2549, 5919
allowed   163
allowing   298
allows   83
allure   5682
alluring   3189
alma   1495
almost   569, 3621, 4560, 4674, 5204
alms   3714
aloft   1910
alone   255, 572, 831, 1683, 1712, 2858, 3348, 4057, 4079, 4082, 4547, 4686, 4707, 5133, 6095, 7058
along   847, 1327, 2007, 2534, 3147, 3313, 3607, 4380, 5091, 6514, 6599, 6633
aloof   5249, 6872
aloud   4014, 4562, 6900
alp   5771
alpestre   1483
alpheus   1700, 1964
alpine   3735
already   396, 2847, 4218, 4834, 5613, 5851, 6265, 6451
also   63, 70, 166, 3363, 3365, 3767, 4510, 4658, 5027, 5121, 5517, 5927, 7006
alta   1481
altar   460, 1320, 4959, 5139
altars   690, 4568
altera   1498
alteration   28
alterations   29
although   61, 2076, 2956, 6541
alti   1533
alto   1570
altre   1515
altri   1514, 1515
altrui   1501
alwayes   3633
always   5963
amabil   1534
amain   1942, 5780, 6499
amalec   4507
amante   1560
amanti   1549
amanuensis   266
amaranthus   1981, 2037
amarantus   2037
amaryllis   1897
amaz   2839, 6481
amaze   522, 3868, 6906
amazement   2603
amber   1171, 2579, 3169, 5864
ambition   5368
ambitious   3515, 5026
ambrosial   2222, 3143
ambushes   6288
amend   4137
amends   5122, 5892
amiable   3633
amicis   1801
amid   2477, 5193
amidst   1712, 2823, 3074, 3310, 4187, 4526, 5573, 5827
amiss   2396, 4205
ammon   4506
ammonite   5407
ammunition   6472
among   164, 1335, 2115, 2393, 3336, 4314, 4450, 4696, 4742, 4793, 5043, 5046, 5181, 5222, 5582, 5675, 6029, 6115, 6134, 6141, 6341, 6376, 6651, 6764, 6844, 6872, 6926, 6938
amongst   110, 114, 118, 390, 2217, 2599, 2911, 3453
amor   1480, 1496, 1501, 1502, 1511, 1527, 1573
amore   1522
amoris   1802
amorosi   1508
amoroso   1487
amorous   494, 1464, 3391, 5522, 6169
amphitrite   3233
amplest   6175
anac   5663
anak   6251
anchises   3238
anchor   372
ancient   2556
and   9, 13, 27, 29, 36, 40, 41, 42, 46, 48, 49, 51, 52, 54, 55, 62, 70, 71, 72, 83, 85, 87, 89, 97, 104, 105, 120, 124, 127, 141, 147, 152, 158, 168, 170, 177, 182, 188, 199, 200, 201, 205, 207, 213, 247, 253, 258, 259, 265, 268, 272, 273, 274, 276, 279, 282, 283, 285, 287, 289, 298, 300, 301, 304, 308, 327, 334, 342, 347, 363, 384, 385, 386, 389, 390, 397, 399, 424, 426, 430, 435, 438, 440, 450, 457, 459, 481, 495, 496, 502, 506, 525, 529, 533, 536, 556, 571, 573, 581, 583, 593, 594, 595, 602, 604, 605, 612, 613, 614, 615, 616, 617, 621, 624, 627, 637, 645, 654, 655, 660, 677, 678, 679, 688, 689, 690, 691, 693, 698, 701, 702, 709, 715, 716, 725, 726, 727, 731, 736, 738, 741, 757, 758, 760, 769, 770, 773, 777, 783, 789, 799, 801, 806, 817, 818, 819, 823, 826, 828, 829, 835, 844, 845, 849, 851, 865, 867, 869, 871, 880, 881, 883, 887, 890, 893, 898, 902, 904, 906, 926, 929, 931, 937, 941, 942, 945, 946, 949, 959, 964, 973, 983, 986, 998, 1000, 1002, 1003, 1004, 1006, 1019, 1022, 1027, 1048, 1050, 1054, 1055, 1058, 1059, 1062, 1064, 1074, 1079, 1082, 1086, 1091, 1094, 1100, 1103, 1112, 1114, 1117, 1118, 1121, 1123, 1132, 1134, 1135, 1136, 1137, 1138, 1140, 1142, 1143, 1145, 1147, 1149, 1152, 1156, 1161, 1163, 1171, 1175, 1176, 1177, 1181, 1186, 1187, 1193, 1195, 1197, 1204, 1205, 1207, 1213, 1214, 1221, 1223, 1228, 1229, 1232, 1237, 1238, 1245, 1251, 1257, 1266, 1278, 1279, 1283, 1287, 1293, 1299, 1300, 1303, 1304, 1307, 1310, 1311, 1317, 1319, 1321, 1323, 1327, 1337, 1343, 1365, 1380, 1383, 1384, 1385, 1386, 1388, 1389, 1390, 1391, 1395, 1403, 1406, 1416, 1419, 1423, 1429, 1431, 1435, 1438, 1439, 1441, 1442, 1444, 1448, 1470, 1577, 1582, 1587, 1597, 1600, 1604, 1605, 1617, 1618, 1620, 1621, 1622, 1623, 1624, 1626, 1629, 1636, 1638, 1648, 1665, 1670, 1674, 1693, 1698, 1702, 1703, 1704, 1705, 1708, 1710, 1713, 1715, 1716, 1717, 1718, 1719, 1720, 1721, 1725, 1726, 1729, 1730, 1735, 1736, 1737, 1740, 1741, 1744, 1746, 1751, 1753, 1761, 1774, 1781, 1822, 1825, 1827, 1828, 1830, 1833, 1835, 1837, 1842, 1843, 1846, 1847, 1849, 1853, 1860, 1862, 1865, 1866, 1867, 1868, 1869, 1895, 1901, 1903, 1905, 1906, 1910, 1911, 1915, 1919, 1921, 1923, 1926, 1928, 1930, 1931, 1935, 1936, 1939, 1943, 1946, 1949, 1954, 1956, 1957, 1958, 1960, 1962, 1966, 1967, 1969, 1973, 1975, 1976, 1978, 1980, 1983, 1986, 1994, 1995, 1996, 2002, 2003, 2007, 2009, 2010, 2012, 2013, 2014, 2017, 2020, 2024, 2025, 2026, 2027, 2051, 2067, 2074, 2078, 2079, 2080, 2081, 2084, 2086, 2090, 2108, 2109, 2112, 2120, 2123, 2132, 2139, 2145, 2156, 2163, 2177, 2210, 2211, 2212, 2213, 2214, 2221, 2225, 2226, 2228, 2232, 2233, 2234, 2236, 2237, 2239, 2242, 2245, 2246, 2248, 2249, 2259, 2261, 2264, 2265, 2266, 2268, 2279, 2282, 2290, 2292, 2294, 2295, 2296, 2302, 2303, 2308, 2311, 2315, 2316, 2317, 2321, 2322, 2327, 2328, 2330, 2331, 2332, 2334, 2337, 2346, 2348, 2350, 2354, 2356, 2363, 2367, 2372, 2373, 2374, 2377, 2380, 2385, 2391, 2394, 2396, 2397, 2410, 2413, 2417, 2419, 2422, 2426, 2427, 2428, 2434, 2435, 2439, 2444, 2448, 2455, 2465, 2470, 2478, 2480, 2481, 2482, 2484, 2485, 2488, 2504, 2514, 2516, 2532, 2540, 2541, 2553, 2555, 2556, 2557, 2565, 2568, 2569, 2572, 2577, 2580, 2581, 2587, 2599, 2603, 2611, 2616, 2617, 2620, 2622, 2623, 2626, 2628, 2630, 2631, 2638, 2639, 2646, 2650, 2652, 2662, 2665, 2677, 2678, 2679, 2684, 2699, 2700, 2701, 2706, 2707, 2711, 2712, 2717, 2719, 2720, 2723, 2725, 2726, 2727, 2729, 2730, 2733, 2735, 2747, 2748, 2752, 2765, 2771, 2776, 2791, 2792, 2796, 2798, 2802, 2807, 2811, 2812, 2816, 2818, 2819, 2824, 2825, 2829, 2831, 2832, 2833, 2835, 2839, 2840, 2843, 2855, 2858, 2860, 2870, 2871, 2873, 2875, 2876, 2881, 2882, 2883, 2888, 2890, 2893, 2899, 2903, 2905, 2907, 2908, 2909, 2910, 2913, 2916, 2918, 2920, 2921, 2929, 2933, 2934, 2935, 2936, 2941, 2945, 2946, 2951, 2963, 2965, 2966, 2967, 2973, 2974, 2976, 2982, 2986, 2988, 2993, 2994, 2999, 3000, 3004, 3005, 3007, 3008, 3010, 3011, 3013, 3015, 3018, 3020, 3021, 3023, 3025, 3026, 3028, 3030, 3031, 3033, 3036, 3037, 3041, 3042, 3046, 3047, 3051, 3058, 3064, 3066, 3071, 3072, 3076, 3082, 3084, 3085, 3087, 3094, 3100, 3102, 3104, 3105, 3108, 3111, 3114, 3119, 3120, 3122, 3137, 3140, 3142, 3144, 3146, 3148, 3153, 3154, 3155, 3156, 3158, 3161, 3172, 3174, 3177, 3179, 3181, 3183, 3185, 3187, 3192, 3194, 3196, 3198, 3201, 3203, 3204, 3217, 3230, 3232, 3235, 3248, 3250, 3251, 3252, 3262, 3266, 3268, 3270, 3271, 3275, 3277, 3285, 3288, 3290, 3292, 3297, 3298, 3301, 3306, 3311, 3313, 3314, 3315, 3318, 3320, 3325, 3327, 3330, 3338, 3340, 3345, 3361, 3393, 3402, 3443, 3450, 3452, 3459, 3473, 3476, 3485, 3492, 3494, 3507, 3511, 3517, 3522, 3523, 3525, 3526, 3528, 3529, 3538, 3539, 3545, 3546, 3551, 3554, 3556, 3572, 3580, 3586, 3588, 3593, 3594, 3601, 3629, 3630, 3638, 3650, 3654, 3659, 3662, 3673, 3676, 3679, 3681, 3683, 3690, 3692, 3693, 3694, 3698, 3710, 3714, 3717, 3718, 3720, 3721, 3723, 3737, 3739, 3742, 3743, 3755, 3756, 3758, 3766, 3767, 3775, 3776, 3780, 3781, 3782, 3785, 3786, 3796, 3800, 3801, 3802, 3805, 3807, 3817, 3820, 3827, 3835, 3840, 3841, 3842, 3844, 3845, 3847, 3849, 3851, 3856, 3868, 3869, 3877, 3892, 3895, 3896, 3935, 3949, 3950, 3953, 3955, 3956, 3957, 3963, 3970, 3972, 3974, 3976, 3979, 3980, 3985, 3987, 3989, 3991, 3993, 3995, 4016, 4017, 4037, 4039, 4040, 4047, 4051, 4056, 4059, 4061, 4071, 4074, 4075, 4078, 4092, 4096, 4103, 4123, 4127, 4137, 4140, 4147, 4153, 4154, 4157, 4166, 4168, 4170, 4177, 4180, 4181, 4183, 4189, 4191, 4196, 4202, 4205, 4209, 4210, 4211, 4214, 4215, 4218, 4225, 4228, 4229, 4231, 4237, 4246, 4250, 4252, 4256, 4260, 4261, 4263, 4267, 4270, 4271, 4273, 4294, 4295, 4296, 4297, 4298, 4303, 4306, 4310, 4312, 4315, 4316, 4319, 4322, 4325, 4327, 4334, 4337, 4342, 4343, 4347, 4349, 4350, 4351, 4353, 4355, 4361, 4364, 4367, 4374, 4381, 4394, 4396, 4400, 4401, 4416, 4418, 4420, 4423, 4428, 4432, 4435, 4438, 4440, 4449, 4451, 4453, 4455, 4456, 4458, 4459, 4460, 4461, 4467, 4470, 4485, 4487, 4488, 4491, 4493, 4499, 4501, 4502, 4506, 4507, 4508, 4511, 4516, 4519, 4520, 4522, 4524, 4528, 4532, 4536, 4539, 4540, 4542, 4543, 4544, 4545, 4548, 4560, 4562, 4570, 4575, 4577, 4579, 4581, 4589, 4594, 4596, 4597, 4599, 4603, 4616, 4619, 4622, 4623, 4625, 4630, 4631, 4637, 4638, 4639, 4641, 4648, 4650, 4652, 4653, 4655, 4656, 4664, 4674, 4675, 4677, 4683, 4689, 4695, 4701, 4703, 4704, 4713, 4714, 4717, 4721, 4722, 4726, 4729, 4731, 4733, 4734, 4735, 4749, 4756, 4760, 4766, 4768, 4769, 4776, 4778, 4782, 4784, 4791, 4792, 4794, 4807, 4809, 4811, 4812, 4813, 4818, 4819, 4830, 4831, 4833, 4834, 4836, 4844, 4845, 4847, 4867, 4874, 4899, 4903, 4907, 4917, 4928, 4929, 4930, 4931, 4937, 4942, 4952, 4953, 4954, 4957, 4968, 4969, 5009, 5010, 5011, 5012, 5015, 5017, 5018, 5021, 5023, 5037, 5038, 5039, 5045, 5047, 5048, 5052, 5054, 5059, 5062, 5063, 5064, 5066, 5074, 5077, 5079, 5081, 5087, 5088, 5095, 5097, 5121, 5123, 5126, 5134, 5135, 5141, 5143, 5146, 5147, 5153, 5164, 5177, 5178, 5184, 5189, 5196, 5197, 5200, 5204, 5208, 5209, 5214, 5217, 5218, 5226, 5235, 5237, 5244, 5246, 5247, 5251, 5260, 5261, 5263, 5296, 5297, 5302, 5317, 5320, 5329, 5330, 5336, 5338, 5342, 5351, 5363, 5370, 5380, 5384, 5388, 5390, 5393, 5396, 5400, 5403, 5404, 5405, 5418, 5423, 5432, 5434, 5458, 5477, 5478, 5480, 5482, 5485, 5491, 5494, 5498, 5508, 5512, 5516, 5521, 5522, 5525, 5527, 5528, 5534, 5535, 5536, 5541, 5547, 5556, 5560, 5561, 5562, 5565, 5566, 5568, 5570, 5572, 5577, 5579, 5581, 5583, 5584, 5585, 5587, 5588, 5593, 5595, 5598, 5599, 5602, 5604, 5617, 5623, 5627, 5628, 5632, 5634, 5636, 5641, 5643, 5644, 5645, 5648, 5652, 5654, 5658, 5659, 5660, 5663, 5665, 5669, 5670, 5675, 5677, 5681, 5688, 5692, 5700, 5704, 5710, 5712, 5714, 5726, 5738, 5739, 5742, 5747, 5750, 5752, 5756, 5757, 5762, 5764, 5768, 5772, 5775, 5776, 5780, 5785, 5794, 5797, 5799, 5802, 5803, 5806, 5810, 5816, 5817, 5820, 5823, 5825, 5828, 5837, 5838, 5840, 5842, 5843, 5850, 5852, 5856, 5861, 5862, 5867, 5875, 5879, 5887, 5889, 5891, 5897, 5900, 5901, 5905, 5906, 5907, 5929, 5931, 5939, 5945, 5948, 5951, 5954, 5956, 5957, 5961, 5962, 5978, 5980, 6002, 6005, 6008, 6015, 6017, 6020, 6029, 6038, 6049, 6053, 6062, 6072, 6073, 6078, 6081, 6085, 6089, 6090, 6094, 6096, 6097, 6099, 6100, 6103, 6104, 6108, 6113, 6120, 6121, 6124, 6125, 6126, 6131, 6135, 6137, 6140, 6143, 6146, 6151, 6155, 6161, 6163, 6169, 6198, 6204, 6206, 6207, 6215, 6216, 6227, 6237, 6251, 6254, 6259, 6260, 6266, 6282, 6285, 6287, 6296, 6297, 6298, 6300, 6309, 6310, 6320, 6327, 6329, 6337, 6339, 6341, 6349, 6352, 6361, 6367, 6378, 6380, 6383, 6387, 6394, 6396, 6402, 6414, 6418, 6428, 6430, 6437, 6444, 6447, 6450, 6463, 6468, 6469, 6471, 6473, 6475, 6476, 6481, 6485, 6495, 6501, 6502, 6510, 6512, 6513, 6514, 6515, 6524, 6526, 6528, 6537, 6542, 6543, 6558, 6566, 6577, 6587, 6611, 6614, 6624, 6631, 6635, 6639, 6648, 6655, 6670, 6672, 6683, 6685, 6686, 6687, 6689, 6691, 6704, 6706, 6710, 6719, 6721, 6723, 6729, 6730, 6734, 6738, 6744, 6754, 6765, 6773, 6778, 6779, 6783, 6786, 6788, 6798, 6803, 6814, 6827, 6846, 6848, 6855, 6858, 6863, 6868, 6871, 6873, 6878, 6879, 6880, 6885, 6898, 6908, 6910, 6911, 6915, 6925, 6932, 6934, 6935, 6940, 6942, 6949, 6952, 6956, 6958, 6962, 6966, 6970, 6975, 6978, 6980, 6982, 6983, 6985, 6988, 6989, 6991, 6992, 6996, 6997, 6999, 7000, 7001, 7004, 7005, 7009, 7014, 7017, 7019, 7023, 7024, 7053
angel   213, 459, 889, 1995, 2433, 2941, 5137, 5489, 6652
angelic   5816
angelike   606
angels   728, 2710, 5471
anger   195, 1623, 2960, 3995, 4134, 4618, 5967, 6122
angry   4306, 4626, 4627, 4726
anguish   783, 4138, 5589, 5742
anno   3382, 3500
annoy   5718
annual   6146
annull   5185
anointed   66, 3981, 4587
anon   1241, 2002
another   261, 1068, 2914, 3050, 3558, 4871, 4967, 5455, 5641, 5698, 5700, 6229, 6560
anough   3077, 3281, 3373, 5586, 6692, 6852
anow   1945, 3373
answer   81, 896, 1926, 2500, 4035, 4402, 4695, 4960, 6261, 6404, 6424, 6522
answerable   5758
answered   3195
answering   559
antagonist   6889
anthems   1435
anticipated   307
antick   1430
antics   6526
antient   2115, 3611, 3671, 3739, 4408, 5040, 5042, 5045, 5066, 5797
antiently   5008
antients   5047
antiquarian   106
antique   1238
antiquity   2694
antistrophe   5050
antithesis   218
anubis   716
anxious   5803
any   226, 244, 289, 381, 387, 1053, 1063, 2166, 2176, 2284, 2467, 2497, 2642, 2766, 3462, 4697, 5064, 5117, 5420, 6182
anywhere   241
apace   1960, 2940, 4326, 4899
apart   5178
apes   3673
apolelymenon   5050
apollo   668, 2734, 2952, 3418, 3541
apology   4894
apostle   5019
apparel   2303
apparent   2068
apparition   2923
appear   539, 1235, 1582, 1660, 1851, 2382, 3174, 3931, 3994, 4096, 4583, 4648, 6054, 6450, 6516, 6889
appearance   6261
appears   1693, 2945, 5972
appease   5891
appeer   1394
appellant   6404
appendix   100, 837, 7031
appertains   182
appetite   3000
applause   389, 2482, 3795
appoint   5502
appointed   4384, 6381
appointment   5786
apprehend   3081, 6192
apprehensive   5767
approach   1753, 2896, 6108
approching   449
approv   5551
approves   5644
april   2103, 2964, 4278
apt   761, 5300
apud   1812
aquilo   3397
arabian   6964
aray   3530
arb   1808
arbitrate   2663
arcades   249, 1655
arcadia   1769, 1787
arcady   1698, 2587
arch   213
arched   667, 1405, 6895
archers   6880
archimedes   3800
arco   1480
are   42, 43, 47, 65, 73, 84, 86, 134, 175, 201, 225, 246, 278, 285, 347, 388, 405, 582, 665, 758, 770, 771, 792, 1003, 1103, 1194, 1365, 1398, 1458, 1698, 1752, 1953, 1956, 1987, 2241, 2324, 2410, 2437, 2448, 2459, 2725, 2756, 2783, 2807, 2856, 2950, 2959, 2989, 2998, 3051, 3115, 3264, 3339, 3555, 3597, 3775, 3858, 4005, 4008, 4139, 4280, 4311, 4433, 4466, 4556, 4558, 4599, 4651, 4653, 4705, 4721, 4751, 4767, 4782, 4847, 5015, 5047, 5062, 5223, 5302, 5306, 5322, 5417, 5486, 5791, 5796, 5896, 5910, 6085, 6121, 6231, 6348, 6422, 6556, 6585, 6625, 6638, 6712, 6733, 6744, 6802, 6853, 6945
arene   1546
areopagitica   4912
arethuse   1701, 1915
argu   6377
argue   3933
argues   82, 5648
argument   5071, 5406, 5802, 6056
arguments   3057, 6013
aries   3898
aright   6787
ariosto   4883
arise   3604, 4817, 5598
aristot   4988
aristotle   5010
arm   2876, 3078, 5133, 5475, 5766, 5782, 6311, 6475, 6722
arma   1567
armed   505, 4512, 6373, 6878
armes   3607, 3866, 3910
armies   5243, 5473
armories   6476
arms   348, 1233, 1594, 2239, 2695, 2890, 4007, 5245, 5251, 6202, 6269, 6295, 6307, 6411, 6894, 6897
army   5474
arno   1500
around   501
arras   623
array   5473
arrayed   579
arrigo   2160
arriv   1581
arrives   6245
arrivi   1513
arrows   2677, 4221
art   406, 1021, 1294, 1618, 1864, 1865, 1952, 2016, 2132, 2269, 2344, 2365, 2550, 3085, 3089, 3166, 3417, 3427, 3486, 3984, 4011, 4097, 4208, 4255, 4261, 4474, 4548, 4549, 4684, 4686, 4704, 4724, 4726, 5269, 5283, 5562, 5965, 6119, 6253, 6267, 6310, 6609, 6617, 6713
artful   2763
artfull   3784
artificer   2127
artists   6525
arts   5896, 5897, 6317
ascalonite   5252
ascend   4781, 6751
ascended   5138
ascertain   167
asdod   6140
asham   4542, 4734
ashes   3743, 6955
ashie   6967
ashoar   3247
ashtaroth   701
aside   438, 2384, 3358, 3362
ask   75, 1063, 1921, 2849, 3511, 3761, 3936, 3985, 4416, 5153, 5179
askalon   6370
asleep   1226
asp   3661
aspects   2989
aspettan   1515
asphodil   3141
aspire   2218, 3476
aspro   1491
ass   5257, 6270
assail   2865, 5904, 6344, 6613
assailant   6957
assaile   4398
assassinated   6285
assault   1610, 2931, 5456
assaulted   5493
assaults   5532, 5996
assay   1750, 5521, 6886
assays   3298
assemblies   4193
assembly   3532, 3961, 4448, 6513
assert   5598
assertion   5014
asses   3673, 6268, 6341
asshur   4510
assign   184, 6292, 6401
assisting   6985
associate   215
assur   5886, 5949, 6522
assurance   2083
asswage   4189, 5770
assyrian   3331
astaroth   6432
astonish   4839
astonishment   1019, 2373
astound   2429
astray   1341, 3948
asunder   3586, 4169
atchiev   6720
atheists   5584
athenian   1607, 3398
atlantick   2310
atropos   944
attain   1445
attaining   5027
attaque   6289
attempt   2656, 6461
attempted   6681
attempting   402
attempts   6405
attend   1751, 2241, 6996
attendance   2557
attendant   2087, 2190, 2205, 2754, 3115, 3276
attended   2430, 3198
attending   2139
attends   1624
attention   191, 290, 2481
attestation   391
atti   1479
attick   1396, 3783
attir   834, 1978, 7061
attire   3525, 3780
attorno   1509, 1553
aug   3967, 4001, 4032, 4086, 4131, 4161, 4242
aught   5395, 5505, 5890, 6040, 6602, 6640
augustus   5027
aurora   1129
austere   5964
austerity   2705
austrum   2056
author   805, 1820, 2077, 2100, 4985, 5030, 5505
authority   5048, 6019
authors   400, 2115
autograph   93, 245, 1610, 1650, 3664, 3705, 3725, 3859, 7033
auventa   1538
avail   5697
avarice   3879
avenge   3734
avengers   4252
aver   5447
averse   3991, 6685
avert   5653
avezza   1492
avoid   2611, 5639
avoided   5628
avon   3610
avow   6329
await   6381
awaites   3874
awak   5455
awake   2499, 4298
awakes   1727
away   616, 1062, 1085, 1949, 1987, 3401, 3484
awe   2238, 6219
awfull   506
awry   6205
axes   4353
axle   2309
axletree   540
ayd   2296
aye   4957
ayr   40, 726, 1349, 1928, 2210, 2346, 2370, 3309
ayre   3785
azure   3720
azurn   3203
azza   5261
baal   6417
baalim   698
babble   3105
babe   634, 947
babel   4754
babes   4250
babylonian   3747
baca   4576
baccare   338
bacchus   1126, 2252, 2796
back   612, 2156, 2410, 2869, 2883, 3281, 3473, 3827, 4360, 4613, 5462, 6314
backs   5254
backward   3120
bad   214, 822, 2921, 3963, 5329, 6776, 7049
baffl   6426
bagnadath   4448
bagnando   1493
bait   6234
baited   2378
baits   2811, 2995, 6777
balefull   2478
ball   5207
ballanc   593
